Type,sCMOS-I
Maker,"Hamamatsu"
ProductName,"Gen I Scientific CMOS Camera"
Comment,""
Public,1
image_size,600
pixel_length,6.5e-6
readout,3.0
dark_current,0.02
excess,1.00
QE
200, 0.0870481475644
201, 0.0882385685249
202, 0.0894412126226
203, 0.0906561366281
204, 0.0918833964023
205, 0.093123046874
206, 0.0943751420171
207, 0.0956397348281
208, 0.096916877303
209, 0.0982066204146
210, 0.0995090140896
211, 0.100824107185
212, 0.102151947467
213, 0.103492581583
214, 0.104846055045
215, 0.106212412201
216, 0.107591696215
217, 0.108983949041
218, 0.110389211402
219, 0.111807522766
220, 0.113238921322
221, 0.114683443956
222, 0.116141126228
223, 0.117612002352
224, 0.119096105166
225, 0.120593466115
226, 0.122104115224
227, 0.123628081075
228, 0.125165390786
229, 0.126716069984
230, 0.128280142785
231, 0.12985763177
232, 0.131448557961
233, 0.133052940799
234, 0.134670798121
235, 0.136302146137
236, 0.137946999407
237, 0.139605370818
238, 0.141277271563
239, 0.142962711117
240, 0.144661697215
241, 0.14637423583
242, 0.148100331153
243, 0.149839985568
244, 0.15159319963
245, 0.153359972047
246, 0.155140299656
247, 0.156934177402
248, 0.158741598317
249, 0.1605625535
250, 0.162397032097
251, 0.164245021276
252, 0.166106506213
253, 0.167981470068
254, 0.169869893966
255, 0.17177175698
256, 0.173687036107
257, 0.175615706252
258, 0.17755774021
259, 0.179513108645
260, 0.181481780075
261, 0.18346372085
262, 0.185458895138
263, 0.187467264905
264, 0.189488789901
265, 0.191523427641
266, 0.193571133388
267, 0.195631860139
268, 0.19770555861
269, 0.199792177218
270, 0.201891662067
271, 0.204003956934
272, 0.206129003255
273, 0.20826674011
274, 0.210417104212
275, 0.21258002989
276, 0.21475544908
277, 0.216943291312
278, 0.219143483696
279, 0.221355950914
280, 0.223580615205
281, 0.225817396361
282, 0.228066211709
283, 0.230326976108
284, 0.232599601935
285, 0.234883999081
286, 0.23718007494
287, 0.239487734401
288, 0.241806879842
289, 0.244137411125
290, 0.246479225585
291, 0.24883221803
292, 0.251196280733
293, 0.253571303426
294, 0.2559571733
295, 0.258353774998
296, 0.260760990614
297, 0.263178699688
298, 0.26560677921
299, 0.268045103611
300, 0.270493544768
301, 0.272951972002
302, 0.275420252078
303, 0.277898249208
304, 0.280385825049
305, 0.282882838708
306, 0.285389146747
307, 0.287904603181
308, 0.290429059484
309, 0.292962364598
310, 0.295504364931
311, 0.298054904369
312, 0.300613824281
313, 0.303180963522
314, 0.305756158448
315, 0.308339242917
316, 0.310930048306
317, 0.313528403512
318, 0.31613413497
319, 0.318747066659
320, 0.321367020116
321, 0.323993814449
322, 0.326627266347
323, 0.329267190096
324, 0.331913397594
325, 0.334565698362
326, 0.337223899564
327, 0.339887806022
328, 0.342557220231
329, 0.34523194238
330, 0.347911770366
331, 0.350596499817
332, 0.353285924109
333, 0.355979834387
334, 0.358678019587
335, 0.361380266455
336, 0.364086359572
337, 0.366796081377
338, 0.369509212186
339, 0.372225530222
340, 0.374944811637
341, 0.377666830537
342, 0.380391359011
343, 0.383118167154
344, 0.385847023097
345, 0.388577693035
346, 0.391309941256
347, 0.394043530168
348, 0.396778220332
349, 0.399513770491
350, 0.402249937603
351, 0.40498647687
352, 0.407723141772
353, 0.410459684104
354, 0.413195854001
355, 0.415931399981
356, 0.418666068975
357, 0.421399606366
358, 0.424131756021
359, 0.426862260332
360, 0.429590860248
361, 0.43231729532
362, 0.435041303733
363, 0.437762622348
364, 0.440480986743
365, 0.443196131249
366, 0.445907788992
367, 0.448615691938
368, 0.45131957093
369, 0.45401915573
370, 0.456714175067
371, 0.459404356674
372, 0.462089427334
373, 0.464769112926
374, 0.467443138468
375, 0.470111228159
376, 0.47277310543
377, 0.475428492987
378, 0.478077112858
379, 0.480718686438
380, 0.483352934538
381, 0.485979577433
382, 0.488598334908
383, 0.491208926308
384, 0.493811070587
385, 0.496404486354
386, 0.498988891926
387, 0.501564005375
388, 0.50412954458
389, 0.506685227276
390, 0.509230771106
391, 0.511765893669
392, 0.514290312575
393, 0.516803745493
394, 0.519305910206
395, 0.521796524658
396, 0.524275307012
397, 0.526741975697
398, 0.529196249466
399, 0.531637847441
400, 0.534066489174
401, 0.536481894694
402, 0.538883784564
403, 0.541271879931
404, 0.543645902582
405, 0.546005574996
406, 0.548350620397
407, 0.550680762808
408, 0.552995727108
409, 0.555295239078
410, 0.557579025463
411, 0.559846814019
412, 0.562098333571
413, 0.564333314066
414, 0.566551486624
415, 0.568752583594
416, 0.570936338607
417, 0.573102486629
418, 0.575250764013
419, 0.577380908557
420, 0.57949265955
421, 0.581585757831
422, 0.583659945838
423, 0.585714967664
424, 0.587750569104
425, 0.589766497714
426, 0.591762502857
427, 0.593738335758
428, 0.595693749557
429, 0.597628499353
430, 0.599542342266
431, 0.601435037476
432, 0.603306346284
433, 0.605156032153
434, 0.606983860765
435, 0.608789600065
436, 0.610573020313
437, 0.612333894132
438, 0.614071996555
439, 0.615787105074
440, 0.617478999689
441, 0.619147462952
442, 0.620792280014
443, 0.622413238672
444, 0.624010129415
445, 0.625582745468
446, 0.627130882837
447, 0.628654340354
448, 0.630152919717
449, 0.631626425539
450, 0.633074665384
451, 0.634497449814
452, 0.635894592426
453, 0.637265909897
454, 0.638611222021
455, 0.639930351748
456, 0.641223125226
457, 0.642489371836
458, 0.643728924232
459, 0.644941618376
460, 0.646127293574
461, 0.647285792513
462, 0.648416961297
463, 0.649520649475
464, 0.650596710083
465, 0.651644999668
466, 0.652665378327
467, 0.653657709734
