Type,sCMOS-II
Maker,"Hamamatsu"
ProductName,"Gen II Scientific CMOS Camera"
Comment,""
Public,1
image_size,600
pixel_length,6.5e-6
readout,1.9
dark_current,0.00
excess,1.00
QE
200, 0.0193932801164
201, 0.0197478482124
202, 0.0201079869433
203, 0.0204737649371
204, 0.0208452512976
205, 0.0212225156007
206, 0.0216056278895
207, 0.0219946586707
208, 0.0223896789093
209, 0.0227907600246
210, 0.0231979738848
211, 0.0236113928021
212, 0.0240310895273
213, 0.0244571372445
214, 0.0248896095649
215, 0.0253285805217
216, 0.0257741245632
217, 0.026226316547
218, 0.0266852317334
219, 0.0271509457786
220, 0.0276235347279
221, 0.0281030750086
222, 0.0285896434223
223, 0.0290833171378
224, 0.0295841736833
225, 0.0300922909381
226, 0.0306077471246
227, 0.0311306208
228, 0.0316609908474
229, 0.0321989364671
230, 0.0327445371674
231, 0.0332978727557
232, 0.0338590233281
233, 0.0344280692607
234, 0.0350050911988
235, 0.035590170047
236, 0.0361833869586
237, 0.0367848233252
238, 0.0373945607655
239, 0.0380126811142
240, 0.0386392664109
241, 0.0392743988878
242, 0.0399181609588
243, 0.0405706352064
244, 0.0412319043702
245, 0.0419020513337
246, 0.0425811591122
247, 0.0432693108388
248, 0.0439665897521
249, 0.044673079182
250, 0.0453888625361
251, 0.046114023286
252, 0.0468486449526
253, 0.0475928110919
254, 0.0483466052803
255, 0.0491101110994
256, 0.0498834121212
257, 0.0506665918922
258, 0.051459733918
259, 0.0522629216475
260, 0.0530762384564
261, 0.0538997676312
262, 0.0547335923522
263, 0.0555777956772
264, 0.0564324605236
265, 0.057297669652
266, 0.0581735056479
267, 0.0590600509043
268, 0.0599573876039
269, 0.0608655977001
270, 0.0617847628995
271, 0.0627149646426
272, 0.063656284085
273, 0.0646088020785
274, 0.0655725991513
275, 0.0665477554892
276, 0.0675343509151
277, 0.0685324648692
278, 0.0695421763893
279, 0.0705635640897
280, 0.0715967061409
281, 0.0726416802491
282, 0.0736985636347
283, 0.0747674330114
284, 0.0758483645646
285, 0.0769414339302
286, 0.0780467161723
287, 0.0791642857618
288, 0.0802942165537
289, 0.0814365817655
290, 0.0825914539539
291, 0.0837589049929
292, 0.0849390060504
293, 0.0861318275655
294, 0.0873374392255
295, 0.0885559099423
296, 0.0897873078291
297, 0.0910317001769
298, 0.0922891534307
299, 0.0935597331656
300, 0.0948435040627
301, 0.0961405298853
302, 0.0974508734545
303, 0.0987745966247
304, 0.100111760259
305, 0.101462424206
306, 0.102826647272
307, 0.104204487201
308, 0.105596000644
309, 0.107001243138
310, 0.108420269083
311, 0.109853131709
312, 0.111299883061
313, 0.112760573963
314, 0.114235254004
315, 0.115723971502
316, 0.117226773487
317, 0.118743705671
318, 0.120274812423
319, 0.121820136746
320, 0.123379720246
321, 0.124953603116
322, 0.126541824099
323, 0.128144420473
324, 0.129761428017
325, 0.131392880991
326, 0.13303881211
327, 0.134699252515
328, 0.136374231752
329, 0.138063777743
330, 0.139767916765
331, 0.141486673421
332, 0.143220070614
333, 0.144968129527
334, 0.146730869595
335, 0.148508308478
336, 0.150300462041
337, 0.152107344324
338, 0.153928967524
339, 0.155765341963
340, 0.15761647607
341, 0.159482376352
342, 0.161363047376
343, 0.163258491738
344, 0.165168710044
345, 0.167093700887
346, 0.169033460819
347, 0.170987984333
348, 0.172957263838
349, 0.174941289635
350, 0.176940049896
351, 0.178953530644
352, 0.180981715724
353, 0.18302458679
354, 0.185082123277
355, 0.187154302381
356, 0.189241099041
357, 0.191342485916
358, 0.193458433363
359, 0.19558890942
360, 0.197733879783
361, 0.199893307792
362, 0.202067154404
363, 0.204255378181
364, 0.206457935266
365, 0.20867477937
366, 0.210905861751
367, 0.213151131197
368, 0.215410534008
369, 0.217684013984
370, 0.219971512401
371, 0.222272968002
372, 0.224588316979
373, 0.226917492956
374, 0.229260426977
375, 0.231617047492
376, 0.233987280341
377, 0.236371048743
378, 0.238768273281
379, 0.241178871891
380, 0.243602759851
381, 0.246039849767
382, 0.248490051564
383, 0.250953272476
384, 0.253429417034
385, 0.255918387059
386, 0.258420081651
387, 0.260934397183
388, 0.263461227291
389, 0.266000462867
390, 0.268551992055
391, 0.271115700242
392, 0.273691470052
393, 0.276279181345
394, 0.278878711208
395, 0.281489933953
396, 0.284112721116
397, 0.286746941451
398, 0.28939246093
399, 0.29204914274
400, 0.294716847284
401, 0.297395432181
402, 0.300084752264
403, 0.302784659584
404, 0.305495003411
405, 0.308215630235
406, 0.310946383769
407, 0.313687104958
408, 0.316437631975
409, 0.319197800233
410, 0.321967442387
411, 0.324746388343
412, 0.327534465261
413, 0.330331497569
414, 0.333137306965
415, 0.335951712432
416, 0.338774530244
417, 0.341605573976
418, 0.344444654519
419, 0.347291580091
420, 0.350146156246
421, 0.353008185892
422, 0.355877469303
423, 0.358753804135
424, 0.361636985438
425, 0.364526805677
426, 0.367423054749
427, 0.370325519994
428, 0.373233986222
429, 0.376148235728
430, 0.379068048309
431, 0.381993201293
432, 0.384923469551
433, 0.387858625526
434, 0.390798439251
435, 0.393742678376
436, 0.396691108191
437, 0.399643491649
438, 0.402599589397
439, 0.405559159794
440, 0.408521958948
441, 0.411487740735
442, 0.414456256833
443, 0.417427256749
444, 0.420400487852
445, 0.423375695396
446, 0.426352622562
447, 0.429331010481
448, 0.432310598272
449, 0.435291123073
450, 0.438272320075
451, 0.44125392256
452, 0.444235661931
453, 0.447217267755
454, 0.450198467792
455, 0.453178988039
456, 0.456158552764
457, 0.459136884548
458, 0.462113704322
459, 0.465088731406
