Type,Recommend
"Acridine Orange","U-FBN"
"Acridine Orange","U-MSWB2"
"Acridine Orange","U-MWB2"
"Acridine Orange","U-MNB2"
"Acridine Orange","U-MWIB3"
"Acridine Orange","U-MNIB3"
"Acridine Orange","XF412"
"Acridine Orange","XF409"
"Acridine Orange","XF411"
"Acridine Orange","49002 ET-GFP(FITC/Cy2)"
"Acridine Orange","49012 ET-FITC/GFP LP"
"Acridine Orange","FITC-3540C"
