Type,Recommend
"Rhodamine 123","49003 ET-EYFP"
"Rhodamine 123","41011 Eosin/ZsYellow"
"Rhodamine 123","U-FBW"
"Rhodamine 123","U-FBN"
"Rhodamine 123","U-FBWA"
"Rhodamine 123","U-MWIB3"
"Rhodamine 123","U-MNIB3"
"Rhodamine 123","U-MWIBA3"
"Rhodamine 123","XF412"
"Rhodamine 123","XF105-2"
"Rhodamine 123","YFP-2427B"
