Type,Recommend
"Alexa Fluor 568","U-FGW"
"Alexa Fluor 568","U-MWG2"
"Alexa Fluor 568","U-MNG2"
"Alexa Fluor 568","U-MWIG3"
"Alexa Fluor 568","XF406"
"Alexa Fluor 568","XF414"
"Alexa Fluor 568","XF207"
"Alexa Fluor 568","49008 ET-mCherry,Texas Red"
"Alexa Fluor 568","41021 Cy3.5"
"Alexa Fluor 568","TxRed-4040C"
