Type,Recommend
"Phycoerythrin R(PE-R)","U-FGW"
"Phycoerythrin R(PE-R)","U-MWG2"
"Phycoerythrin R(PE-R)","U-MNG2"
"Phycoerythrin R(PE-R)","U-MWIG3"
"Phycoerythrin R(PE-R)","XF402"
"Phycoerythrin R(PE-R)","XF204"
"Phycoerythrin R(PE-R)","XF413"
"Phycoerythrin R(PE-R)","CY3-4040C"
