0.17,3.26599e-08,3.0946e-05,1.656e-05,2e-08,"(0,1)","(0,0)"
0.17,3.26599e-08,4.03683e-05,3.92e-05,2e-08,"(1,1)","(0,0)"
0.17,3.26599e-08,4.50102e-05,2.944e-05,2e-08,"(2,1)","(0,0)"
0.17,3.26599e-08,3.48258e-05,4.28e-05,2e-08,"(3,1)","(0,0)"
0.17,7.51177e-07,4.32089e-05,3.524e-05,2e-08,"(4,1)","(0,0)"
0.17,3.26599e-08,2.40178e-05,4.4e-06,2e-08,"(5,1)","(0,0)"
0.17,1.33905e-06,8.46395e-06,2.838e-05,2e-08,"(6,1)","(0,0)"
0.17,1.95959e-06,2.75742e-05,3.028e-05,2e-08,"(7,1)","(0,0)"
0.17,3.26599e-08,7.49401e-06,1.726e-05,2e-08,"(8,1)","(0,0)"
0.17,4.24578e-07,2.29785e-05,4.692e-05,2e-08,"(9,1)","(0,0)"
0.17,3.26599e-08,3.17427e-05,4.054e-05,2e-08,"(10,1)","(0,0)"
0.17,2.93939e-07,2.74819e-06,2.324e-05,2e-08,"(11,1)","(0,0)"
0.17,3.26599e-08,2.284e-05,3.608e-05,2e-08,"(12,1)","(0,0)"
0.17,3.26599e-08,4.45599e-05,3.086e-05,2e-08,"(13,1)","(0,0)"
0.17,1.79629e-06,1.70549e-05,3.19e-05,2e-08,"(14,1)","(0,0)"
0.17,3.26599e-08,1.77131e-05,1.052e-05,2e-08,"(15,1)","(0,0)"
0.17,1.1431e-06,2.284e-05,4.34e-05,2e-08,"(16,1)","(0,0)"
0.17,3.26599e-08,1.97916e-05,4e-05,2e-08,"(17,1)","(0,0)"
0.17,5.87878e-07,1.76669e-05,4.532e-05,2e-08,"(18,1)","(0,0)"
0.17,1.73097e-06,3.65578e-05,2.46e-05,2e-08,"(19,1)","(0,0)"
0.17,1.82895e-06,1.5242e-05,2.612e-05,2e-08,"(20,1)","(0,0)"
0.17,1.07778e-06,9.08749e-06,3.546e-05,2e-08,"(21,1)","(0,0)"
0.17,3.26599e-08,4.46292e-05,2.974e-05,2e-08,"(22,1)","(0,0)"
0.17,1.66565e-06,1.97916e-05,3.68e-05,2e-08,"(23,1)","(0,0)"
0.17,3.26599e-08,2.71355e-05,1.296e-05,2e-08,"(24,1)","(0,0)"
