Type,Recommend
"Fluo 4","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"Fluo 4","49002 ET-GFP(FITC/Cy2)"
"Fluo 4","U-FBNA"
"Fluo 4","U-MNIBA3"
"Fluo 4","XF404"
"Fluo 4","XF409"
"Fluo 4","XF411"
"Fluo 4","XF202"
"Fluo 4","FITC-3540C"
