Type,Recommend
"Alexa Fluor 488","U-FBW"
"Alexa Fluor 488","U-FBN"
"Alexa Fluor 488","U-FBWA"
"Alexa Fluor 488","U-FBNA"
"Alexa Fluor 488","U-MWIB3"
"Alexa Fluor 488","U-MNIB3"
"Alexa Fluor 488","U-MWIBA3"
"Alexa Fluor 488","U-MNIBA3"
"Alexa Fluor 488","XF404"
"Alexa Fluor 488","XF409"
"Alexa Fluor 488","XF411"
"Alexa Fluor 488","XF202"
"Alexa Fluor 488","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"Alexa Fluor 488","49002 ET-GFP(FITC/Cy2)"
"Alexa Fluor 488","FITC-3540C"
