Type,Recommend
"DiO","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"DiO","U-FBN"
"DiO","U-MWB2"
"DiO","U-MNB2"
"DiO","U-MWIB3"
"DiO","U-MNIB3"
"DiO","XF404"
"DiO","XF409"
"DiO","XF411"
"DiO","XF202"
"DiO","GFP-3035C"
