0.02,3.26599e-08,2.33596e-05,3.726e-05,2e-08,"(52,3)","(0,0)",1.0,266.0
0.02,3.26599e-08,2.65119e-05,1.468e-05,2e-08,"(53,3)","(0,0)",1.0,1195.0
0.02,1.56767e-06,1.81519e-05,1.552e-05,2e-08,"(54,3)","(0,0)",1.0,2208.0
0.02,1.76363e-06,3.31515e-05,3.086e-05,2e-08,"(55,3)","(0,0)",1.0,870.0
0.02,1.86161e-06,1.84406e-05,2.114e-05,2e-08,"(56,3)","(0,0)",1.0,429.0
0.02,3.59258e-07,3.28512e-05,8.9e-06,2e-08,"(57,3)","(0,0)",1.0,287.0
0.02,1.33905e-06,2.59577e-05,3.824e-05,2e-08,"(58,3)","(0,0)",1.0,224.0
0.02,1.69831e-06,3.67195e-05,2.22e-05,2e-08,"(59,3)","(0,0)",1.0,418.0
0.02,3.26599e-08,3.29205e-05,3.266e-05,2e-08,"(60,3)","(0,0)",1.0,5566.0
0.02,1.56767e-06,3.73084e-05,3.018e-05,2e-08,"(61,3)","(0,0)",1.0,317.0
0.02,5.87878e-07,3.4641e-06,2.356e-05,2e-08,"(62,3)","(0,0)",1.0,535.0
0.02,3.26599e-08,1.85445e-05,3.316e-05,2e-08,"(63,3)","(0,0)",1.0,510.0
0.02,3.26599e-08,3.9433e-05,2.826e-05,2e-08,"(64,3)","(0,0)",1.0,1430.0
0.02,3.91918e-07,2.71586e-05,4.208e-05,2e-08,"(65,3)","(0,0)",1.0,662.0
0.02,1.11044e-06,4.29895e-05,2.954e-05,2e-08,"(66,3)","(0,0)",1.0,248.0
0.02,9.79796e-08,1.17895e-05,1.082e-05,2e-08,"(67,3)","(0,0)",1.0,246.0
0.02,3.26599e-08,3.34401e-05,2.664e-05,2e-08,"(68,3)","(0,0)",1.0,3621.0
0.02,1.95959e-06,2.01264e-05,2.734e-05,2e-08,"(69,3)","(0,0)",1.0,425.0
0.02,3.26599e-08,1.2517e-05,2.756e-05,2e-08,"(70,3)","(0,0)",1.0,607.0
0.02,9.79796e-08,3.10499e-05,4.186e-05,2e-08,"(71,3)","(0,0)",1.0,246.0
0.02,3.59258e-07,3.74585e-05,3.928e-05,2e-08,"(72,3)","(0,0)",1.0,1952.0
0.02,1.95959e-06,2.96181e-05,2.634e-05,2e-08,"(73,3)","(0,0)",1.0,301.0
0.02,3.26599e-08,2.83825e-05,1.532e-05,2e-08,"(74,3)","(0,0)",1.0,287.0
0.02,3.26599e-08,3.41676e-05,1.302e-05,2e-08,"(75,3)","(0,0)",1.0,1338.0
0.02,1.73097e-06,3.54493e-05,2.872e-05,2e-08,"(76,3)","(0,0)",1.0,300.0
0.02,3.26599e-08,2.75512e-05,2.648e-05,2e-08,"(77,3)","(0,0)",1.0,1510.0
0.02,3.26599e-08,9.60711e-06,3.74e-05,2e-08,"(78,3)","(0,0)",1.0,300.0
