Type,Recommend
"Alexa Fluor 555","U-FGW"
"Alexa Fluor 555","U-MWIG3"
"Alexa Fluor 555","XF402"
"Alexa Fluor 555","XF405"
"Alexa Fluor 555","XF413"
"Alexa Fluor 555","49004 ET-CY3"
"Alexa Fluor 555","41002b TRITC(Rhodamine with narrow-band excitation filter)"
"Alexa Fluor 555","CY3-4040C"
