Type,Recommend
"Calcein/AM","U-FBW"
"Calcein/AM","U-FBN"
"Calcein/AM","U-FBWA"
"Calcein/AM","U-FBNA"
"Calcein/AM","U-MWB2"
"Calcein/AM","U-MNB2"
"Calcein/AM","U-MWIB3"
"Calcein/AM","U-MNIB3"
"Calcein/AM","U-MWIBA3"
"Calcein/AM","U-MNIBA3"
"Calcein/AM","XF404"
"Calcein/AM","XF409"
"Calcein/AM","XF411"
"Calcein/AM","XF202"
"Calcein/AM","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"Calcein/AM","49012 ET-FITC/GFP LP"
"Calcein/AM","FITC-3540C"
