Type,Recommend
"BOBO 1","U-FBVW"
"BOBO 1","U-FBW"
"BOBO 1","U-MWBV2"
"BOBO 1","U-MNBV2"
"BOBO 1","U-MSWB2"
"BOBO 1","U-MWB2"
"BOBO 1","U-MWIB3"
"BOBO 1","XF401"
"BOBO 1","XF130-2"
"BOBO 1","CFP-2432B"
