Type,EMCCD-Color
Maker,"LBCS"
ProductName,"ImgEM-CCD Camera (Color)"
Comment,""
Public,1
image_size,512
pixel_length,16e-6
sat_charge,370000
readout,5.0
dark_current,0.00
excess,2.00
QE
200, 1.1540516229e-08, 6.66782005554e-16, 5.13672977659e-10
201, 1.32563290836e-08, 8.09672488655e-16, 5.61991560423e-10
202, 1.5218787139e-08, 9.82638147517e-16, 6.14732265729e-10
203, 1.74620623262e-08, 1.19189111571e-15, 6.7228800847e-10
204, 2.00248720831e-08, 1.44490159456e-15, 7.35085510116e-10
205, 2.29510570429e-08, 1.75064740115e-15, 8.03588106647e-10
206, 2.6290228423e-08, 2.1199119439e-15, 8.7829878076e-10
207, 3.00984930306e-08, 2.5656398078e-15, 9.59763435499e-10
208, 3.44392646358e-08, 3.10336083028e-15, 1.04857442769e-09
209, 3.93841713801e-08, 3.75169555299e-15, 1.14537438087e-09
210, 4.50140698877e-08, 4.53295729919e-15, 1.25086029896e-09
211, 5.14201778513e-08, 5.47386891251e-15, 1.36578800316e-09
212, 5.87053380564e-08, 6.60641547513e-15, 1.49097691648e-09
213, 6.69854281255e-08, 7.96885818634e-15, 1.62731522196e-09
214, 7.63909316893e-08, 9.60693912648e-15, 1.77576542221e-09
215, 8.70686882528e-08, 1.15753119731e-14, 1.9373703304e-09
216, 9.91838407218e-08, 1.39392400109e-14, 2.11325952429e-09
217, 1.12922001402e-07, 1.67766101448e-14, 2.30465629783e-09
218, 1.28491659288e-07, 2.01803202659e-14, 2.51288514645e-09
219, 1.46126853648e-07, 2.42611074557e-14, 2.7393798256e-09
220, 1.66090141262e-07, 2.91508963833e-14, 2.98569202384e-09
221, 1.88675887238e-07, 3.50067611516e-14, 3.25350069562e-09
222, 2.14213912112e-07, 4.20156101131e-14, 3.54462210107e-09
223, 2.43073530924e-07, 5.03997221939e-14, 3.86102060419e-09
224, 2.75668023209e-07, 6.04232854852e-14, 4.20482028354e-09
225, 3.12459576332e-07, 7.24001148169e-14, 4.57831741394e-09
226, 3.53964748368e-07, 8.67027553048e-14, 4.98399388101e-09
227, 4.00760500778e-07, 1.03773214185e-13, 5.42453159497e-09
228, 4.53490855499e-07, 1.24135604397e-13, 5.90282797433e-09
229, 5.12874235748e-07, 1.48411031324e-13, 6.42201257487e-09
230, 5.79711554859e-07, 1.77335109853e-13, 6.9854649444e-09
231, 6.54895122878e-07, 2.11778563838e-13, 7.59683378886e-09
232, 7.39418446381e-07, 2.52771435407e-13, 8.26005754122e-09
233, 8.3438700316e-07, 3.01531519179e-13, 8.97938643053e-09
234, 9.41030080004e-07, 3.59497738068e-13, 9.7594061546e-09
235, 1.06071376881e-06, 4.283692953e-13, 1.06050632669e-08
236, 1.19495522371e-06, 5.10151573885e-13, 1.15216923949e-08
237, 1.34543828993e-06, 6.07209913133e-13, 1.25150454154e-08
238, 1.51403062343e-06, 7.22332575005e-13, 1.35913227192e-08
239, 1.70280242934e-06, 8.58804425054e-13, 1.47572067068e-08
240, 1.91404695685e-06, 1.02049309771e-12, 1.60198976665e-08
241, 2.15030289794e-06, 1.21194969869e-12, 1.73871521928e-08
242, 2.41437884821e-06, 1.43852642395e-12, 1.88673243176e-08
243, 2.70937999908e-06, 1.70651385157e-12, 2.04694095326e-08
244, 3.03873724233e-06, 2.02330109714e-12, 2.22030918956e-08
245, 3.40623888048e-06, 2.39756252402e-12, 2.40787944245e-08
246, 3.81606514923e-06, 2.83947527547e-12, 2.61077329945e-08
247, 4.27282577191e-06, 3.36097255859e-12, 2.83019739686e-08
248, 4.78160077996e-06, 3.97603837183e-12, 3.06744958041e-08
