Type,Recommend
"Alexa Fluor 594","U-FYW"
"Alexa Fluor 594","U-MWIY2"
"Alexa Fluor 594","XF414"
"Alexa Fluor 594","XF406"
"Alexa Fluor 594","XF207"
"Alexa Fluor 594","49008 ET-mCherry,Texas Red"
"Alexa Fluor 594","41004 Texas Red"
"Alexa Fluor 594","TxRed-4040C"
