Type,Recommend
"Midoriichi-Cyan1","U-FBWA"
"Midoriichi-Cyan1","U-FBNA"
"Midoriichi-Cyan1","U-MWIBA3"
"Midoriichi-Cyan1","U-MNIBA3"
"Midoriichi-Cyan1","XF410"
"Midoriichi-Cyan1","U-MGFPHQ"
"Midoriichi-Cyan1","U-MWBV2"
