Type,Recommend
"Hoechst 33258","49000 ET-DAPI"
"Hoechst 33258","U-FUW"
"Hoechst 33258","U-FUN"
"Hoechst 33258","U-FUNA"
"Hoechst 33258","U-MWU2"
"Hoechst 33258","U-MNU2"
"Hoechst 33258","U-MNUA2"
"Hoechst 33258","XF403"
"Hoechst 33258","XF408"
"Hoechst 33258","XF05-2"
"Hoechst 33258","DAPI-1160B"
"Hoechst 33258","DAPI-5060C"
