Type,Recommend
"Texas Red","49008 ET-mCherry,Texas Red"
"Texas Red","TxRed-4040C"
"Texas Red","U-FYW"
"Texas Red","U-MWIY2"
"Texas Red","XF414"
"Texas Red","XF406"
"Texas Red","XF207"
