Type,Recommend
"EGFP","49002 ET-GFP(FITC/Cy2)"
"EGFP","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"EGFP","U-FBW"
"EGFP","U-FBN"
"EGFP","U-FBWA"
"EGFP","U-FBNA"
"EGFP","U-FGFP"
"EGFP","U-MWIB3"
"EGFP","U-MNIB3"
"EGFP","U-MWIBA3"
"EGFP","U-MNIBA3"
"EGFP","U-MGFPHQ"
"EGFP","XF404"
"EGFP","XF409"
"EGFP","XF411"
"EGFP","XF202"
"EGFP","GFP-3035C"
